date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:48	8331/8331	---MC-	200	added ('OK')	image/jpeg	etag:%221bc75-5814bc802977a%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT4644.JPG?etag=%221bc75-5c5c1051%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=210,157&extract=10,0,188,157	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT46444c4b.jpg	(from https://stenungsundsbi.se/about/Senaste%20nytt.html)
13:17:49	111662/111662	---MC-	200	added ('OK')	image/jpeg	etag:%2245a30-5814b86a1c2c5%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT5097_kopia.jpg?etag=%2245a30-5c5c0c08%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT5097_kopiad525.jpg	(from https://stenungsundsbi.se/about/Senaste%20nytt.html)
13:17:49	7768/7768	---M--	200	added ('OK')	image/jpeg	etag:%2245a30-5814b86a1c2c5%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT5097_kopia.jpg?etag=%2245a30-5c5c0c08%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=215,157&extract=13,0,188,157	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT5097_kopia5ac0.jpg	(from https://stenungsundsbi.se/about/Senaste%20nytt.html)
13:17:51	183369/183369	---MC-	200	added ('OK')	image/jpeg	etag:%223b823-5811387dabc9f%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT3457.JPG?etag=%223b823-5c586097%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT3457a7e6.jpg	(from https://stenungsundsbi.se/about/Senaste%20nytt.html)
13:17:51	9969/9969	---M--	200	added ('OK')	image/jpeg	etag:%223b823-5811387dabc9f%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT3457.JPG?etag=%223b823-5c586097%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=210,157&extract=10,0,188,157	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT3457f607.jpg	(from https://stenungsundsbi.se/about/Senaste%20nytt.html)
13:17:52	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:52%20GMT	https://stenungsundsbi.se/onewebmedia/image31.jpg	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/image31.jpg	(from https://stenungsundsbi.se/onewebmedia/lasvart.1.htm)
13:17:53	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:53%20GMT	https://stenungsundsbi.se/onewebmedia/2-bikubo.gif	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/2-bikubo.gif	(from https://stenungsundsbi.se/onewebmedia/lasvart.1.htm)
13:17:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:54%20GMT	https://stenungsundsbi.se/onewebmedia/artiklar.htm	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/artiklar.htm	(from https://stenungsundsbi.se/onewebmedia/lasvart.1.htm)
13:17:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:55%20GMT	https://stenungsundsbi.se/onewebmedia/arrow.gif	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/arrow.gif	(from https://stenungsundsbi.se/onewebmedia/lasvart.1.htm)
13:17:56	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:56%20GMT	https://stenungsundsbi.se/onewebmedia/vespa3.jpg	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/vespa3.jpg	(from https://stenungsundsbi.se/onewebmedia/lasvart.1.htm)
13:17:57	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:17:57%20GMT	https://stenungsundsbi.se/onewebmedia/struts.jpg	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/struts.jpg	(from https://stenungsundsbi.se/onewebmedia/lasvart.3.htm)
13:17:59	2638/2638	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/3346f6b69e.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/3346f6b69e.png	(from https://stenungsundsbi.se/onewebstatic/c9df0990a7.css)
13:18:00	557747/557747	URF---	200	added ('OK%20(cached)')	image/png		https://stenungsundsbi.se/onewebstatic/c9634d4849.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/c9634d4849.png	(from https://stenungsundsbi.se/)
13:18:00	625462/625462	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%20403.JPG?etag=%223e994a-5c534605%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=3264%2B2448&extract=0%2B0%2B3263%2B624&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%204030326.jpg	(from https://stenungsundsbi.se/)
13:18:00	95933/95933	URF---	200	added ('OK%20(cached)')	image/jpeg		https://stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag.JPG?etag=%22323c5-5c582969%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag12d1.jpg	(from https://stenungsundsbi.se/our%2520work.html)
